Détail du scoring optimisé,,,,,,,,,,,,,,,,,,,,,,,
"Une ligne par marque x marketplace. Les marketplaces déjà présents ne sont pas éligibles aux 2 recommandations finales, mais leur score est conservé pour audit.",,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Marque,Nom dans scoring initial,Pays,Catégorie optimisée,Marketplace,Déjà présent ?,Score optimisé,Priorité,Score initial,Fit catégorie,Fit géographique,Échelle commerciale,Readiness ops/wholesale,Fit positionnement,Incrémentalité,Story/durabilité,Pénalité risque,Score modèle brut,CA estimé utilisé ($M),Effectif min utilisé,Intl.,Durable,Positionnement,Notes data
Brent Neale,Brent Neale,USA,Fine Jewelry,Galeries Lafayette,Non,"59,9",Watchlist — faible fit,"72,0","25,0","8,0","5,5","9,0","12,0","6,0","1,0","-13,0","58,5","2,0",5,Medium,FALSE,luxury_premium,OK
Brent Neale,Brent Neale,USA,Fine Jewelry,La Redoute,Non,"47,6",Watchlist — faible fit,"57,0","16,0","8,0","10,5","10,0","8,0","6,0","1,0","-18,0","46,5","2,0",5,Medium,FALSE,luxury_premium,OK
Brent Neale,Brent Neale,USA,Fine Jewelry,Debenhams,Non,"47,6",Watchlist — faible fit,"57,0","18,0","10,0","10,5","10,0","7,0","5,0","1,0","-20,0","46,5","2,0",5,Medium,FALSE,luxury_premium,OK
By Pariah,By Pariah,Australia,Fine Jewelry,Nordstrom,Non,"80,7",P1 — Fort potentiel,"87,0","28,0","12,0","9,0","8,0","11,0","7,0","4,0","-4,0","80,0","3,0",2,High,TRUE,luxury_premium,OK
By Pariah,By Pariah,Australia,Fine Jewelry,Bloomingdale's,Non,"78,9",P2 — Recommandé,"82,0","30,0","10,0","8,5","8,0","12,0","7,0","2,0","-4,0","78,5","3,0",2,High,TRUE,luxury_premium,OK
By Pariah,By Pariah,Australia,Fine Jewelry,John Lewis,Non,"70,3",P2 — Recommandé,"82,0","19,0","10,0","8,5","9,0","11,0","6,5","4,0","-4,0","69,0","3,0",2,High,TRUE,luxury_premium,OK
By Pariah,By Pariah,Australia,Fine Jewelry,Galeries Lafayette,Non,"68,2",P3 — Test / à cadrer,"57,0","25,0","9,0","8,0","8,0","12,0","7,0","2,5","-7,0","69,5","3,0",2,High,TRUE,luxury_premium,OK
By Pariah,By Pariah,Australia,Fine Jewelry,La Redoute,Non,"47,9",Watchlist — faible fit,"47,0","16,0","9,0","9,0","9,0","8,0","7,0","4,0","-19,0","48,0","3,0",2,High,TRUE,luxury_premium,OK
By Pariah,By Pariah,Australia,Fine Jewelry,Debenhams,Non,"47,6",Watchlist — faible fit,"62,0","18,0","11,0","9,0","9,0","7,0","6,0","2,0","-21,0","46,0","3,0",2,High,TRUE,luxury_premium,OK
CARLO MORETTI (via Emporio Sirenuse),CARLO MORETTI,Italy,Home / Lifestyle,La Redoute,Non,"82,5",P1 — Fort potentiel,"83,0","30,0","11,0","10,5","11,0","12,0","5,0","1,0","-3,0","82,5",,20,Medium,FALSE,premium_contemporary,CA non disponible
CARLO MORETTI (via Emporio Sirenuse),CARLO MORETTI,Italy,Home / Lifestyle,John Lewis,Non,"81,7",P1 — Fort potentiel,"83,0","29,0","10,0","10,1","11,0","12,0","6,5","1,0","-3,0","81,6",,20,Medium,FALSE,premium_contemporary,CA non disponible
CARLO MORETTI (via Emporio Sirenuse),CARLO MORETTI,Italy,Home / Lifestyle,Debenhams,Non,"76,2",P2 — Recommandé,"83,0","24,0","10,0","10,5","11,0","11,0","6,0","1,0","-3,0","75,5",,20,Medium,FALSE,premium_contemporary,CA non disponible
CARLO MORETTI (via Emporio Sirenuse),CARLO MORETTI,Italy,Home / Lifestyle,Galeries Lafayette,Non,"70,4",P2 — Recommandé,"80,0","20,0","12,0","9,3","10,0","10,0","5,0","1,0","-3,0","69,3",,20,Medium,FALSE,premium_contemporary,CA non disponible
CARLO MORETTI (via Emporio Sirenuse),CARLO MORETTI,Italy,Home / Lifestyle,Nordstrom,Non,"68,2",P3 — Test / à cadrer,"83,0","14,0","10,0","10,5","10,0","12,0","7,0","1,0","-3,0","66,5",,20,Medium,FALSE,premium_contemporary,CA non disponible
CARLO MORETTI (via Emporio Sirenuse),CARLO MORETTI,Italy,Home / Lifestyle,Bloomingdale's,Non,"64,2",P3 — Test / à cadrer,"83,0","12,0","10,0","10,1","10,0","10,0","7,0","1,0","-3,0","62,1",,20,Medium,FALSE,premium_contemporary,CA non disponible
CDLP,CDLP,Sweden,Womenswear RTW,Nordstrom,Oui,"86,0",P1 — Fort potentiel,,"27,0","9,0","15,0","9,0","11,0","6,0","4,0","0,0","86,0","10,0",25,Medium,TRUE,luxury_premium,OK
CDLP,CDLP,Sweden,Womenswear RTW,John Lewis,Non,"85,8",P1 — Fort potentiel,"95,0","25,0","10,0","14,3","10,0","11,0","5,5","4,0","0,0","84,8","10,0",25,Medium,TRUE,luxury_premium,OK
CDLP,CDLP,Sweden,Womenswear RTW,Bloomingdale's,Oui,"84,3",P1 — Fort potentiel,,"28,0","8,0","14,3","9,0","12,0","6,0","2,0","0,0","84,3","10,0",25,Medium,TRUE,luxury_premium,OK
CDLP,CDLP,Sweden,Womenswear RTW,Galeries Lafayette,Non,"83,2",P1 — Fort potentiel,"72,0","30,0","10,0","12,0","9,0","12,0","4,0","2,5","0,0","84,5","10,0",25,Medium,TRUE,luxury_premium,OK
CDLP,CDLP,Sweden,Womenswear RTW,La Redoute,Non,"80,2",P1 — Fort potentiel,"100,0","27,0","10,0","15,0","10,0","8,0","4,0","4,0","-5,0","78,0","10,0",25,Medium,TRUE,luxury_premium,OK
CDLP,CDLP,Sweden,Womenswear RTW,Debenhams,Non,"77,5",P2 — Recommandé,"100,0","28,0","9,0","15,0","10,0","8,0","5,0","2,0","-7,0","75,0","10,0",25,Medium,TRUE,luxury_premium,OK
CHARO RUIZ,CHARO RUIZ,Spain,Swimwear / Resort,Nordstrom,Non,"89,0",P1 — Fort potentiel,"80,0","27,0","10,0","15,0","12,0","11,0","8,0","2,0","0,0","90,0","10,0",50,High,FALSE,luxury_premium,OK
CHARO RUIZ,CHARO RUIZ,Spain,Swimwear / Resort,Bloomingdale's,Non,"86,6",P1 — Fort potentiel,"80,0","25,0","9,0","14,3","12,0","12,0","8,0","2,0","0,0","87,3","10,0",50,High,FALSE,luxury_premium,OK
CHARO RUIZ,CHARO RUIZ,Spain,Swimwear / Resort,La Redoute,Non,"86,0",P1 — Fort potentiel,"95,0","26,0","12,0","15,0","12,0","9,0","6,0","2,0","-2,0","85,0","10,0",50,High,FALSE,luxury_premium,OK
CHARO RUIZ,CHARO RUIZ,Spain,Swimwear / Resort,Galeries Lafayette,Non,"84,5",P1 — Fort potentiel,"90,0","22,0","12,0","12,9","12,0","12,0","6,0","2,0","0,0","83,9","10,0",50,High,FALSE,luxury_premium,OK
CHARO RUIZ,CHARO RUIZ,Spain,Swimwear / Resort,John Lewis,Non,"82,5",P1 — Fort potentiel,"80,0","20,0","11,0","14,3","12,0","11,0","7,5","2,0","0,0","82,8","10,0",50,High,FALSE,luxury_premium,OK
CHARO RUIZ,CHARO RUIZ,Spain,Swimwear / Resort,Debenhams,Non,"82,4",P1 — Fort potentiel,"95,0","25,0","10,0","15,0","12,0","8,0","7,0","2,0","-3,0","81,0","10,0",50,High,FALSE,luxury_premium,OK
Cabana Magazine,Cabana Magazine,Italy,Home / Lifestyle,John Lewis,Non,"78,6",P2 — Recommandé,"50,0","29,0","11,0","9,3","11,0","12,0","6,5","1,0","-3,0","81,8",,11,High,FALSE,luxury_premium,CA non disponible
Cabana Magazine,Cabana Magazine,Italy,Home / Lifestyle,La Redoute,Non,"78,4",P2 — Recommandé,"83,0","30,0","12,0","9,9","11,0","9,0","5,0","1,0","-5,0","77,9",,11,High,FALSE,luxury_premium,CA non disponible
Cabana Magazine,Cabana Magazine,Italy,Home / Lifestyle,Debenhams,Non,"70,3",P2 — Recommandé,"83,0","24,0","11,0","9,9","11,0","7,0","6,0","1,0","-6,0","68,9",,11,High,FALSE,luxury_premium,CA non disponible
Cabana Magazine,Cabana Magazine,Italy,Home / Lifestyle,Galeries Lafayette,Non,"67,1",P3 — Test / à cadrer,"45,0","20,0","12,0","8,5","11,0","12,0","5,0","1,0","-5,0","69,5",,11,High,FALSE,luxury_premium,CA non disponible
Cabana Magazine,Cabana Magazine,Italy,Home / Lifestyle,Nordstrom,Non,"64,8",P3 — Test / à cadrer,"50,0","14,0","11,0","9,4","11,0","11,0","7,0","1,0","-3,0","66,4",,11,High,FALSE,luxury_premium,CA non disponible
Cabana Magazine,Cabana Magazine,Italy,Home / Lifestyle,Bloomingdale's,Non,"63,8",P3 — Test / à cadrer,"50,0","12,0","11,0","9,3","11,0","12,0","7,0","1,0","-3,0","65,3",,11,High,FALSE,luxury_premium,CA non disponible
Calle Del Mar LLC,Calle Del Mar LLC,USA,Swimwear / Resort,Nordstrom,Non,"78,9",P2 — Recommandé,"87,0","27,0","12,0","9,0","9,0","11,0","5,0","4,0","-4,0","78,0","3,0",2,Medium,TRUE,luxury_premium,OK
Calle Del Mar LLC,Calle Del Mar LLC,USA,Swimwear / Resort,Bloomingdale's,Non,"75,2",P2 — Recommandé,"82,0","25,0","12,0","8,5","9,0","12,0","5,0","2,0","-4,0","74,5","3,0",2,Medium,TRUE,luxury_premium,OK
Calle Del Mar LLC,Calle Del Mar LLC,USA,Swimwear / Resort,La Redoute,Non,"71,3",P2 — Recommandé,"92,0","26,0","8,0","9,0","10,0","9,0","7,0","4,0","-9,0","69,0","3,0",2,Medium,TRUE,luxury_premium,OK
Calle Del Mar LLC,Calle Del Mar LLC,USA,Swimwear / Resort,John Lewis,Non,"71,2",P2 — Recommandé,"82,0","20,0","9,0","8,5","10,0","11,0","6,5","4,0","-4,0","70,0","3,0",2,Medium,TRUE,luxury_premium,OK
Calle Del Mar LLC,Calle Del Mar LLC,USA,Swimwear / Resort,Debenhams,Non,"67,7",P3 — Test / à cadrer,"92,0","25,0","10,0","9,0","10,0","8,0","6,0","2,0","-10,0","65,0","3,0",2,Medium,TRUE,luxury_premium,OK
Calle Del Mar LLC,Calle Del Mar LLC,USA,Swimwear / Resort,Galeries Lafayette,Non,"64,3",P3 — Test / à cadrer,"72,0","22,0","8,0","8,0","9,0","12,0","7,0","2,5","-10,0","63,5","3,0",2,Medium,TRUE,luxury_premium,OK
Carolina Bucci,Carolina Bucci,Italy,Fine Jewelry,Bloomingdale's,Oui,"87,3",P1 — Fort potentiel,,"30,0","11,0","11,3","12,0","12,0","5,0","1,0","0,0","87,3","5,0",10,High,FALSE,luxury_premium,OK
Carolina Bucci,Carolina Bucci,Italy,Fine Jewelry,Nordstrom,Oui,"85,2",P1 — Fort potentiel,,"28,0","11,0","12,2","12,0","11,0","5,0","1,0","0,0","85,2","5,0",10,High,FALSE,luxury_premium,OK
Carolina Bucci,Carolina Bucci,Italy,Fine Jewelry,John Lewis,Non,"76,9",P2 — Recommandé,"87,0","19,0","11,0","11,3","13,0","11,0","4,5","1,0","0,0","75,8","5,0",10,High,FALSE,luxury_premium,OK
Carolina Bucci,Carolina Bucci,Italy,Fine Jewelry,Galeries Lafayette,Non,"74,2",P2 — Recommandé,"72,0","25,0","12,0","9,5","12,0","12,0","3,0","1,0","-5,0","74,5","5,0",10,High,FALSE,luxury_premium,OK
Carolina Bucci,Carolina Bucci,Italy,Fine Jewelry,La Redoute,Non,"56,7",Watchlist — faible fit,"65,0","16,0","12,0","12,8","13,0","8,0","3,0","1,0","-15,0","55,8","5,0",10,High,FALSE,luxury_premium,OK
Carolina Bucci,Carolina Bucci,Italy,Fine Jewelry,Debenhams,Non,"55,8",Watchlist — faible fit,"65,0","18,0","11,0","12,8","13,0","7,0","4,0","1,0","-17,0","54,8","5,0",10,High,FALSE,luxury_premium,OK
Christian Siriano,Christian Siriano,USA,Womenswear RTW,Bloomingdale's,Oui,"89,3",P1 — Fort potentiel,,"28,0","12,0","14,3","12,0","12,0","5,0","1,0","0,0","89,3","10,0",25,High,FALSE,luxury_premium,OK
Christian Siriano,Christian Siriano,USA,Womenswear RTW,Nordstrom,Non,"88,7",P1 — Fort potentiel,"95,0","27,0","12,0","15,0","12,0","11,0","5,0","1,0","0,0","88,0","10,0",25,High,FALSE,luxury_premium,OK
Christian Siriano,Christian Siriano,USA,Womenswear RTW,Galeries Lafayette,Non,"87,0",P1 — Fort potentiel,"87,0","30,0","8,0","12,0","12,0","12,0","7,0","1,0","0,0","87,0","10,0",25,High,FALSE,luxury_premium,OK
Christian Siriano,Christian Siriano,USA,Womenswear RTW,John Lewis,Non,"85,8",P1 — Fort potentiel,"95,0","26,0","9,0","14,3","12,0","11,0","6,5","1,0","0,0","84,8","10,0",25,High,FALSE,luxury_premium,OK
Christian Siriano,Christian Siriano,USA,Womenswear RTW,La Redoute,Non,"76,7",P2 — Recommandé,"65,0","27,0","8,0","15,0","12,0","8,0","7,0","1,0","-5,0","78,0","10,0",25,High,FALSE,luxury_premium,OK
Christian Siriano,Christian Siriano,USA,Womenswear RTW,Debenhams,Non,"76,7",P2 — Recommandé,"65,0","28,0","10,0","15,0","12,0","8,0","6,0","1,0","-7,0","78,0","10,0",25,High,FALSE,luxury_premium,OK
Christopher Esber,Christopher Esber,Australia,Womenswear RTW,Nordstrom,Oui,"85,4",P1 — Fort potentiel,,"27,0","12,0","12,4","12,0","11,0","5,0","1,0","0,0","85,4","5,0",11,High,FALSE,luxury_premium,OK
Christopher Esber,Christopher Esber,Australia,Womenswear RTW,Bloomingdale's,Oui,"84,4",P1 — Fort potentiel,,"28,0","10,0","11,4","12,0","12,0","5,0","1,0","0,0","84,4","5,0",11,High,FALSE,luxury_premium,OK
Christopher Esber,Christopher Esber,Australia,Womenswear RTW,John Lewis,Non,"83,0",P1 — Fort potentiel,"57,0","29,0","10,0","11,4","13,0","12,0","4,5","1,0","0,0","85,9","5,0",11,High,FALSE,luxury_premium,OK
Christopher Esber,Christopher Esber,Australia,Womenswear RTW,La Redoute,Non,"82,6",P1 — Fort potentiel,"80,0","30,0","9,0","12,9","13,0","9,0","5,0","1,0","-2,0","82,9","5,0",11,High,FALSE,luxury_premium,OK
Christopher Esber,Christopher Esber,Australia,Womenswear RTW,Debenhams,Non,"81,4",P1 — Fort potentiel,"95,0","28,0","11,0","12,9","13,0","8,0","4,0","1,0","-3,0","79,9","5,0",11,High,FALSE,luxury_premium,OK
Christopher Esber,Christopher Esber,Australia,Womenswear RTW,Galeries Lafayette,Non,"73,4",P2 — Recommandé,"27,0","30,0","9,0","9,5","12,0","12,0","5,0","1,0","-5,0","78,5","5,0",11,High,FALSE,luxury_premium,OK
Christopher John Rogers,Christopher John Rogers,USA,Womenswear RTW,Bloomingdale's,Oui,"81,8",P1 — Fort potentiel,,"28,0","12,0","10,8","10,0","12,0","3,0","1,0","0,0","81,8","3,0",11,High,FALSE,luxury_premium,OK
Christopher John Rogers,Christopher John Rogers,USA,Womenswear RTW,Nordstrom,Oui,"80,4",P1 — Fort potentiel,,"27,0","12,0","11,4","10,0","11,0","3,0","1,0","0,0","80,4","3,0",11,High,FALSE,luxury_premium,OK
Christopher John Rogers,Christopher John Rogers,USA,Womenswear RTW,John Lewis,Non,"77,4",P2 — Recommandé,"87,0","25,0","9,0","10,8","10,0","11,0","4,5","1,0","0,0","76,3","3,0",11,High,FALSE,luxury_premium,OK
Christopher John Rogers,Christopher John Rogers,USA,Womenswear RTW,Galeries Lafayette,Non,"72,5",P2 — Recommandé,"72,0","30,0","8,0","9,5","10,0","12,0","5,0","1,0","-8,0","72,5","3,0",11,High,FALSE,luxury_premium,OK
Christopher John Rogers,Christopher John Rogers,USA,Womenswear RTW,La Redoute,Non,"66,7",P3 — Test / à cadrer,"65,0","27,0","8,0","11,9","10,0","8,0","5,0","1,0","-9,0","66,9","3,0",11,High,FALSE,luxury_premium,OK
Christopher John Rogers,Christopher John Rogers,USA,Womenswear RTW,Debenhams,Non,"66,7",P3 — Test / à cadrer,"65,0","28,0","10,0","11,9","10,0","8,0","4,0","1,0","-11,0","66,9","3,0",11,High,FALSE,luxury_premium,OK
Clio Peppiatt,Clio Peppiatt,UK,Womenswear RTW,Debenhams,Non,"79,4",P2 — Recommandé,"87,0","28,0","12,0","10,0","10,0","12,0","3,5","1,0","-3,0","78,5","1,0",5,Medium,FALSE,premium_contemporary,OK
Clio Peppiatt,Clio Peppiatt,UK,Womenswear RTW,La Redoute,Non,"77,6",P2 — Recommandé,"87,0","27,0","10,0","10,0","10,0","11,0","5,5","1,0","-3,0","76,5","1,0",5,Medium,FALSE,premium_contemporary,OK
Clio Peppiatt,Clio Peppiatt,UK,Womenswear RTW,Nordstrom,Non,"72,3",P2 — Recommandé,"57,0","27,0","10,0","9,5","9,0","12,0","5,5","1,0","-5,0","74,0","1,0",5,Medium,FALSE,premium_contemporary,OK
Clio Peppiatt,Clio Peppiatt,UK,Womenswear RTW,John Lewis,Oui,"68,5",P3 — Test / à cadrer,,"26,0","12,0","7,0","10,0","12,0","3,5","1,0","-8,0","68,5","1,0",5,Medium,FALSE,premium_contemporary,OK
Clio Peppiatt,Clio Peppiatt,UK,Womenswear RTW,Galeries Lafayette,Non,"67,5",P3 — Test / à cadrer,"72,0","30,0","11,0","5,5","9,0","10,0","5,5","1,0","-10,0","67,0","1,0",5,Medium,FALSE,premium_contemporary,OK
Clio Peppiatt,Clio Peppiatt,UK,Womenswear RTW,Bloomingdale's,Non,"65,5",P3 — Test / à cadrer,"57,0","28,0","9,0","7,0","9,0","10,0","5,5","1,0","-8,0","66,5","1,0",5,Medium,FALSE,premium_contemporary,OK
Comme Si,Comme Si,USA,Womenswear RTW,Nordstrom,Oui,"81,5",P1 — Fort potentiel,,"27,0","12,0","9,5","11,0","11,0","4,0","4,0","-2,0","81,5","2,0",5,High,TRUE,luxury_premium,OK
Comme Si,Comme Si,USA,Womenswear RTW,Bloomingdale's,Non,"77,4",P2 — Recommandé,"72,0","28,0","12,0","9,0","11,0","12,0","4,0","2,0","-5,0","78,0","2,0",5,High,TRUE,luxury_premium,OK
Comme Si,Comme Si,USA,Womenswear RTW,John Lewis,Non,"77,0",P2 — Recommandé,"72,0","26,0","9,0","9,0","12,0","12,0","5,5","4,0","-5,0","77,5","2,0",5,High,TRUE,luxury_premium,OK
Comme Si,Comme Si,USA,Womenswear RTW,La Redoute,Non,"76,7",P2 — Recommandé,"92,0","27,0","8,0","10,0","12,0","8,0","6,0","4,0","-5,0","75,0","2,0",5,High,TRUE,luxury_premium,OK
Comme Si,Comme Si,USA,Womenswear RTW,Debenhams,Non,"74,9",P2 — Recommandé,"92,0","28,0","10,0","10,0","12,0","8,0","5,0","2,0","-7,0","73,0","2,0",5,High,TRUE,luxury_premium,OK
Comme Si,Comme Si,USA,Womenswear RTW,Galeries Lafayette,Non,"67,0",P3 — Test / à cadrer,"72,0","30,0","8,0","5,0","11,0","12,0","6,0","2,5","-13,0","66,5","2,0",5,High,TRUE,luxury_premium,OK
Cortana,Cortanaeshop,Spain,Womenswear RTW,Nordstrom,Non,"87,7",P1 — Fort potentiel,"80,0","27,0","10,0","12,5","11,0","11,0","7,0","5,0","0,0","88,5","3,0",20,High,TRUE,luxury_premium,OK
Cortana,Cortanaeshop,Spain,Womenswear RTW,John Lewis,Non,"85,0",P1 — Fort potentiel,"75,0","25,0","11,0","11,6","11,0","11,0","6,5","5,0","0,0","86,1","3,0",20,High,TRUE,luxury_premium,OK
Cortana,Cortanaeshop,Spain,Womenswear RTW,Bloomingdale's,Non,"82,4",P1 — Fort potentiel,"45,0","28,0","9,0","11,6","11,0","12,0","7,0","3,0","0,0","86,6","3,0",20,High,TRUE,luxury_premium,OK
Cortana,Cortanaeshop,Spain,Womenswear RTW,Galeries Lafayette,Non,"81,9",P1 — Fort potentiel,"47,0","30,0","12,0","10,3","11,0","12,0","5,0","3,5","-3,0","85,8","3,0",20,High,TRUE,luxury_premium,OK
Cortana,Cortanaeshop,Spain,Womenswear RTW,La Redoute,Non,"78,9",P2 — Recommandé,"100,0","27,0","12,0","12,5","11,0","8,0","5,0","5,0","-9,0","76,5","3,0",20,High,TRUE,luxury_premium,OK
Cortana,Cortanaeshop,Spain,Womenswear RTW,Debenhams,Non,"75,2",P2 — Recommandé,"100,0","28,0","10,0","12,5","11,0","8,0","6,0","3,0","-11,0","72,5","3,0",20,High,TRUE,luxury_premium,OK
Diotima,Diotima,USA,Womenswear RTW,Bloomingdale's,Non,"77,5",P2 — Recommandé,"82,0","28,0","12,0","8,0","9,0","12,0","4,0","3,0","-4,0","77,0","3,0",2,Medium,TRUE,luxury_premium,OK
Diotima,Diotima,USA,Womenswear RTW,Nordstrom,Oui,"77,5",P2 — Recommandé,,"27,0","12,0","8,5","9,0","11,0","4,0","5,0","-4,0","77,5","3,0",2,Medium,TRUE,luxury_premium,OK
Diotima,Diotima,USA,Womenswear RTW,John Lewis,Non,"75,2",P2 — Recommandé,"82,0","25,0","9,0","8,0","10,0","11,0","5,5","5,0","-4,0","74,5","3,0",2,Medium,TRUE,luxury_premium,OK
Diotima,Diotima,USA,Womenswear RTW,Galeries Lafayette,Non,"71,1",P2 — Recommandé,"72,0","30,0","8,0","7,5","9,0","12,0","6,0","3,5","-10,0","71,0","3,0",2,Medium,TRUE,luxury_premium,OK
Diotima,Diotima,USA,Womenswear RTW,La Redoute,Non,"65,2",P3 — Test / à cadrer,"62,0","27,0","8,0","8,5","10,0","8,0","6,0","5,0","-12,0","65,5","3,0",2,Medium,TRUE,luxury_premium,OK
Diotima,Diotima,USA,Womenswear RTW,Debenhams,Non,"63,4",P3 — Test / à cadrer,"62,0","28,0","10,0","8,5","10,0","8,0","5,0","3,0","-14,0","63,5","3,0",2,Medium,TRUE,luxury_premium,OK
Doen,Doen,USA,Womenswear RTW,Nordstrom,Oui,"91,0",P1 — Fort potentiel,,"27,0","12,0","15,0","12,0","12,0","4,0","4,0","0,0","91,0","20,0",50,High,TRUE,premium_contemporary,OK
Doen,Doen,USA,Womenswear RTW,Debenhams,Non,"91,0",P1 — Fort potentiel,"100,0","28,0","10,0","15,0","13,0","12,0","5,0","2,0","0,0","90,0","20,0",50,High,TRUE,premium_contemporary,OK
Doen,Doen,USA,Womenswear RTW,La Redoute,Non,"90,1",P1 — Fort potentiel,"100,0","27,0","8,0","15,0","13,0","11,0","6,0","4,0","0,0","89,0","20,0",50,High,TRUE,premium_contemporary,OK
Doen,Doen,USA,Womenswear RTW,John Lewis,Non,"90,0",P1 — Fort potentiel,"95,0","26,0","9,0","15,0","13,0","12,0","5,5","4,0","0,0","89,5","20,0",50,High,TRUE,premium_contemporary,OK
Doen,Doen,USA,Womenswear RTW,Bloomingdale's,Oui,"88,0",P1 — Fort potentiel,,"28,0","12,0","15,0","12,0","10,0","4,0","2,0","0,0","88,0","20,0",50,High,TRUE,premium_contemporary,OK
Doen,Doen,USA,Womenswear RTW,Galeries Lafayette,Non,"87,8",P1 — Fort potentiel,"90,0","30,0","8,0","15,0","12,0","9,0","6,0","2,5","0,0","87,5","20,0",50,High,TRUE,premium_contemporary,OK
DÉHANCHE,DÉHANCHE,USA,Accessories / Leather,Nordstrom,Non,"78,0",P2 — Recommandé,"87,0","25,0","12,0","9,0","9,0","11,0","5,0","5,0","-4,0","77,0","3,0",2,Medium,TRUE,luxury_premium,OK
DÉHANCHE,DÉHANCHE,USA,Accessories / Leather,John Lewis,Non,"77,5",P2 — Recommandé,"82,0","26,0","9,0","8,5","10,0","11,0","6,5","5,0","-4,0","77,0","3,0",2,Medium,TRUE,luxury_premium,OK
DÉHANCHE,DÉHANCHE,USA,Accessories / Leather,Bloomingdale's,Non,"76,2",P2 — Recommandé,"82,0","25,0","12,0","8,5","9,0","12,0","5,0","3,0","-4,0","75,5","3,0",2,Medium,TRUE,luxury_premium,OK
DÉHANCHE,DÉHANCHE,USA,Accessories / Leather,Galeries Lafayette,Non,"72,5",P2 — Recommandé,"72,0","30,0","8,0","8,0","9,0","12,0","7,0","3,5","-10,0","72,5","3,0",2,Medium,TRUE,luxury_premium,OK
DÉHANCHE,DÉHANCHE,USA,Accessories / Leather,La Redoute,Non,"65,9",P3 — Test / à cadrer,"92,0","23,0","8,0","9,0","10,0","8,0","7,0","5,0","-12,0","63,0","3,0",2,Medium,TRUE,luxury_premium,OK
DÉHANCHE,DÉHANCHE,USA,Accessories / Leather,Debenhams,Non,"63,2",P3 — Test / à cadrer,"92,0","24,0","10,0","9,0","10,0","7,0","6,0","3,0","-14,0","60,0","3,0",2,Medium,TRUE,luxury_premium,OK
ESCVDO,ESCVDO,USA,Womenswear RTW,Nordstrom,Non,"86,6",P1 — Fort potentiel,"87,0","27,0","12,0","11,5","11,0","12,0","5,0","5,0","-2,0","86,5","5,0",5,High,TRUE,premium_contemporary,OK
ESCVDO,ESCVDO,USA,Womenswear RTW,Debenhams,Non,"85,9",P1 — Fort potentiel,"67,0","28,0","10,0","12,0","12,0","12,0","6,0","3,0","0,0","88,0","5,0",5,High,TRUE,premium_contemporary,OK
ESCVDO,ESCVDO,USA,Womenswear RTW,La Redoute,Non,"85,0",P1 — Fort potentiel,"67,0","27,0","8,0","12,0","12,0","11,0","7,0","5,0","0,0","87,0","5,0",5,High,TRUE,premium_contemporary,OK
ESCVDO,ESCVDO,USA,Womenswear RTW,Bloomingdale's,Non,"82,6",P1 — Fort potentiel,"82,0","28,0","12,0","10,7","11,0","10,0","5,0","3,0","-2,0","82,7","5,0",5,High,TRUE,premium_contemporary,OK
ESCVDO,ESCVDO,USA,Womenswear RTW,John Lewis,Non,"82,2",P1 — Fort potentiel,"82,0","25,0","9,0","10,7","12,0","11,0","6,5","5,0","-2,0","82,2","5,0",5,High,TRUE,premium_contemporary,OK
ESCVDO,ESCVDO,USA,Womenswear RTW,Galeries Lafayette,Non,"74,2",P2 — Recommandé,"72,0","30,0","8,0","8,0","11,0","9,0","7,0","3,5","-7,0","74,5","5,0",5,High,TRUE,premium_contemporary,OK
Edition (Cecilie Bahnsen),Edition,Denmark,Womenswear RTW,Nordstrom,Non,"84,5",P1 — Fort potentiel,"75,0","27,0","10,0","13,5","11,0","11,0","7,0","1,0","0,0","85,5","5,0",20,High,FALSE,luxury_premium,OK
Edition (Cecilie Bahnsen),Edition,Denmark,Womenswear RTW,Bloomingdale's,Non,"84,2",P1 — Fort potentiel,"75,0","28,0","9,0","12,2","11,0","12,0","7,0","1,0","0,0","85,2","5,0",20,High,FALSE,luxury_premium,OK
Edition (Cecilie Bahnsen),Edition,Denmark,Womenswear RTW,John Lewis,Non,"83,4",P1 — Fort potentiel,"90,0","25,0","11,0","12,2","11,0","11,0","6,5","1,0","0,0","82,7","5,0",20,High,FALSE,luxury_premium,OK
Edition (Cecilie Bahnsen),Edition,Denmark,Womenswear RTW,Galeries Lafayette,Non,"81,8",P1 — Fort potentiel,"77,0","30,0","11,0","10,3","11,0","12,0","5,0","1,0","-3,0","82,3","5,0",20,High,FALSE,luxury_premium,OK
Edition (Cecilie Bahnsen),Edition,Denmark,Womenswear RTW,La Redoute,Non,"75,4",P2 — Recommandé,"65,0","27,0","11,0","13,5","11,0","8,0","5,0","1,0","-5,0","76,5","5,0",20,High,FALSE,luxury_premium,OK
Edition (Cecilie Bahnsen),Edition,Denmark,Womenswear RTW,Debenhams,Non,"74,5",P2 — Recommandé,"65,0","28,0","10,0","13,5","11,0","8,0","6,0","1,0","-7,0","75,5","5,0",20,High,FALSE,luxury_premium,OK
El Sol (Faithfull the Brand),El Sol,Denmark,Swimwear / Resort,John Lewis,Non,"90,0",P1 — Fort potentiel,"95,0","29,0","10,0","15,0","11,0","12,0","6,5","1,0","0,0","89,5","20,0",50,Medium,FALSE,premium_contemporary,OK
