Recommandations finales — 2 nouveaux marketplaces par marque,,,,,,,,,,,,,,,,,,,,,,,,,,
Chaque recommandation exclut les marketplaces déjà présents. Les scores reflètent le modèle optimisé; les raisons/risques sont rédigés pour être utilisables en pitch ou en plan d'action.,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,
Marque,URL,Pays,Catégorie optimisée,Tags produits,CA estimé utilisé ($M),Effectif min utilisé,Intl.,Durable / éthique,Positionnement,Marketplaces déjà présents,Reco #1,Score #1,Priorité #1,Pourquoi #1,Plan d'entrée #1,Conditions / risques #1,Reco #2,Score #2,Priorité #2,Pourquoi #2,Plan d'entrée #2,Conditions / risques #2,Opportunité conseil,Confiance,Notes data,Sources marque
Calle Del Mar LLC,calledelmar.com,USA,Swimwear / Resort,swim/resort,"3,0",2,Medium,Oui,luxury_premium,Aucun dans le set cible,Nordstrom,"78,9",P2 — Recommandé,"fit catégorie solide (Swimwear / Resort) | ancrage US utile pour capter la demande domestique premium | readiness commerciale: CA $3M, effectif min. 2, international Medium | narratif durable/artisanal monétisable","Test dropship 30–60 SKU Swimwear / Resort; storytelling marque + inclusivité/sizing; pricing USD, fast returns, calendrier capsules saisonnières.",renforcer flux SAV/retours/catalogue avant onboarding,Bloomingdale's,"75,2",P2 — Recommandé,"fit catégorie solide (Swimwear / Resort) | ancrage US utile pour capter la demande domestique premium | readiness commerciale: CA $3M, effectif min. 2, international Medium | narratif durable/artisanal monétisable","Pitch curaté 20–40 SKU Swimwear / Resort; priorité best-sellers + nouveautés; e-concession/dropship, US warehouse, prix USD et retours calibrés.",renforcer flux SAV/retours/catalogue avant onboarding,Pack conseil: setup US marketplace / assortiment + pitch buyer / storytelling durable,Haute,OK,calledelmar.com; ZoomInfo
Carolina Bucci,carolinabucci.com,Italy,Fine Jewelry,"fine jewelry, jewelry","5,0",10,High,Non,luxury_premium,"Bloomingdale's, Nordstrom",John Lewis,"76,9",P2 — Recommandé,"fit catégorie à cadrer (Fine Jewelry) | levier d’entrée UK depuis Italy | readiness commerciale: CA $5M, effectif min. 10, international High","Direct-ship UK 25–50 SKU; gamme premium lisible, service/retours irréprochables, focus qualité et produits evergreen.",cadrer livraison/retours UK et prix GBP | assortiment bijoux à filtrer: prix d’appel et garanties qualité,Galeries Lafayette,"74,2",P2 — Recommandé,"fit catégorie solide (Fine Jewelry) | cohérence européenne/France | readiness commerciale: CA $5M, effectif min. 10, international High","Capsule premium 20–35 SKU; fiches FR/EN, prix EUR, sélection visuelle élevée; viser vitrine online puis pont wholesale/retail si traction.",taille CA sous seuil indicatif: limiter à un drop test | renforcer flux SAV/retours/catalogue avant onboarding,Pack conseil: localisation FR/EUR / go-to-market UK/GBP / assortiment + pitch buyer,Haute,OK,carolinabucci.com; ZoomInfo; LinkedIn; CFDA
Christian Siriano,christiansiriano.com,USA,Womenswear RTW,"accessoires/leather, bridal, womenswear","10,0",25,High,Non,luxury_premium,Bloomingdale's,Nordstrom,"88,7",P1 — Fort potentiel,"fit catégorie solide (Womenswear RTW) | ancrage US utile pour capter la demande domestique premium | readiness commerciale: CA $10M, effectif min. 25, international High","Test dropship 30–60 SKU Womenswear RTW; storytelling marque + inclusivité/sizing; pricing USD, fast returns, calendrier capsules saisonnières.",aucun blocage majeur; avancer en pitch/onboarding,Galeries Lafayette,"87,0",P1 — Fort potentiel,"fit catégorie très fort (Womenswear RTW) | levier d’entrée France/Europe depuis USA | readiness commerciale: CA $10M, effectif min. 25, international High | forte incrémentalité car canal cible peu/ pas exploité","Capsule premium 20–35 SKU; fiches FR/EN, prix EUR, sélection visuelle élevée; viser vitrine online puis pont wholesale/retail si traction.",localiser fiches produit/prix en EUR et cadrer TVA/retours,Pack conseil: setup US marketplace / localisation FR/EUR / assortiment + pitch buyer,Haute,OK,christiansiriano.com; ZoomInfo; LinkedIn; WWD
Christopher Esber,christopheresber.com,Australia,Womenswear RTW,"home/lifestyle, menswear, womenswear","5,0",11,High,Non,luxury_premium,"Bloomingdale's, Nordstrom",John Lewis,"83,0",P1 — Fort potentiel,"fit catégorie très fort (Womenswear RTW) | levier d’entrée UK depuis Australia | readiness commerciale: CA $5M, effectif min. 11, international High","Direct-ship UK 25–50 SKU; gamme premium lisible, service/retours irréprochables, focus qualité et produits evergreen.",cadrer livraison/retours UK et prix GBP,La Redoute,"82,6",P1 — Fort potentiel,"fit catégorie très fort (Womenswear RTW) | levier d’entrée France/Europe depuis Australia | readiness commerciale: CA $5M, effectif min. 11, international High","Assortiment lifestyle 40–80 SKU; localisation FR, marges/prix contrôlés, volumes et disponibilité; éviter discounting non maîtrisé.",localiser fiches produit/prix en EUR et cadrer TVA/retours | protéger le prix et l’image: capsule sélective sans promo agressive,Pack conseil: localisation FR/EUR / go-to-market UK/GBP / assortiment + pitch buyer,Haute,OK,christopheresber.com; ZoomInfo; LinkedIn; Vogue Australia
Christopher John Rogers,christopherjohnrogers.com,USA,Womenswear RTW,"bridal, womenswear","3,0",11,High,Non,luxury_premium,"Bloomingdale's, Nordstrom",John Lewis,"77,4",P2 — Recommandé,"fit catégorie solide (Womenswear RTW) | levier d’entrée UK depuis USA | readiness commerciale: CA $3M, effectif min. 11, international High","Direct-ship UK 25–50 SKU; gamme premium lisible, service/retours irréprochables, focus qualité et produits evergreen.",cadrer livraison/retours UK et prix GBP,Galeries Lafayette,"72,5",P2 — Recommandé,"fit catégorie très fort (Womenswear RTW) | levier d’entrée France/Europe depuis USA | readiness commerciale: CA $3M, effectif min. 11, international High","Capsule premium 20–35 SKU; fiches FR/EN, prix EUR, sélection visuelle élevée; viser vitrine online puis pont wholesale/retail si traction.",taille CA sous seuil indicatif: limiter à un drop test | renforcer flux SAV/retours/catalogue avant onboarding | localiser fiches produit/prix en EUR et cadrer TVA/retours,Pack conseil: localisation FR/EUR / go-to-market UK/GBP / assortiment + pitch buyer,Haute,OK,christopherjohnrogers.com; ZoomInfo; LinkedIn; BoF
Clio Peppiatt,cliopeppiatt.co.uk,UK,Womenswear RTW,"accessoires/leather, knit/cashmere, womenswear","1,0",5,Medium,Non,premium_contemporary,John Lewis,Debenhams,"79,4",P2 — Recommandé,"fit catégorie très fort (Womenswear RTW) | cohérence marché UK | readiness commerciale: CA $1M, effectif min. 5, international Medium",Pilot UK online 50–100 SKU; stock-light + retail media; fixer garde-fous promo et seuils de marge avant expansion.,taille CA sous seuil indicatif: limiter à un drop test,La Redoute,"77,6",P2 — Recommandé,"fit catégorie solide (Womenswear RTW) | cohérence européenne/France | readiness commerciale: CA $1M, effectif min. 5, international Medium","Assortiment lifestyle 40–80 SKU; localisation FR, marges/prix contrôlés, volumes et disponibilité; éviter discounting non maîtrisé.",taille CA sous seuil indicatif: limiter à un drop test,Pack conseil: localisation FR/EUR / go-to-market UK/GBP / assortiment + pitch buyer,Haute,OK,cliopeppiatt.co.uk; Companies House UK; LinkedIn
Comme Si,commesi.com,USA,Womenswear RTW,"knit/cashmere, womenswear","2,0",5,High,Oui,luxury_premium,Nordstrom,Bloomingdale's,"77,4",P2 — Recommandé,"fit catégorie très fort (Womenswear RTW) | ancrage US utile pour capter la demande domestique premium | readiness commerciale: CA $2M, effectif min. 5, international High | narratif durable/artisanal monétisable","Pitch curaté 20–40 SKU Womenswear RTW; priorité best-sellers + nouveautés; e-concession/dropship, US warehouse, prix USD et retours calibrés.",taille CA sous seuil indicatif: limiter à un drop test | renforcer flux SAV/retours/catalogue avant onboarding,John Lewis,"77,0",P2 — Recommandé,"fit catégorie solide (Womenswear RTW) | levier d’entrée UK depuis USA | readiness commerciale: CA $2M, effectif min. 5, international High | narratif durable/artisanal monétisable","Direct-ship UK 25–50 SKU; gamme premium lisible, service/retours irréprochables, focus qualité et produits evergreen.",taille CA sous seuil indicatif: limiter à un drop test | renforcer flux SAV/retours/catalogue avant onboarding | cadrer livraison/retours UK et prix GBP,Pack conseil: setup US marketplace / go-to-market UK/GBP / assortiment + pitch buyer / storytelling durable,Haute,OK,commesi.com; LinkedIn; ZoomInfo
Cortana,cortana.es,Spain,Womenswear RTW,"bridal, womenswear","3,0",20,High,Oui,luxury_premium,Aucun dans le set cible,Nordstrom,"87,7",P1 — Fort potentiel,"fit catégorie solide (Womenswear RTW) | levier d’expansion US depuis Spain | readiness commerciale: CA $3M, effectif min. 20, international High | narratif durable/artisanal monétisable | forte incrémentalité car canal cible peu/ pas exploité","Test dropship 30–60 SKU Womenswear RTW; storytelling marque + inclusivité/sizing; pricing USD, fast returns, calendrier capsules saisonnières.",prévoir setup US: TIN/warehouse/retours/service client,John Lewis,"85,0",P1 — Fort potentiel,"fit catégorie solide (Womenswear RTW) | levier d’entrée UK depuis Spain | readiness commerciale: CA $3M, effectif min. 20, international High | narratif durable/artisanal monétisable | forte incrémentalité car canal cible peu/ pas exploité","Direct-ship UK 25–50 SKU; gamme premium lisible, service/retours irréprochables, focus qualité et produits evergreen.",cadrer livraison/retours UK et prix GBP,Pack conseil: setup US marketplace / go-to-market UK/GBP / assortiment + pitch buyer / storytelling durable,Haute,OK,cortana.es; LinkedIn; ZoomInfo
Diotima,diotima.world,USA,Womenswear RTW,womenswear,"3,0",2,Medium,Oui,luxury_premium,Nordstrom,Bloomingdale's,"77,5",P2 — Recommandé,"fit catégorie très fort (Womenswear RTW) | ancrage US utile pour capter la demande domestique premium | readiness commerciale: CA $3M, effectif min. 2, international Medium | narratif durable/artisanal monétisable","Pitch curaté 20–40 SKU Womenswear RTW; priorité best-sellers + nouveautés; e-concession/dropship, US warehouse, prix USD et retours calibrés.",renforcer flux SAV/retours/catalogue avant onboarding,John Lewis,"75,2",P2 — Recommandé,"fit catégorie solide (Womenswear RTW) | levier d’entrée UK depuis USA | readiness commerciale: CA $3M, effectif min. 2, international Medium | narratif durable/artisanal monétisable","Direct-ship UK 25–50 SKU; gamme premium lisible, service/retours irréprochables, focus qualité et produits evergreen.",renforcer flux SAV/retours/catalogue avant onboarding | cadrer livraison/retours UK et prix GBP,Pack conseil: setup US marketplace / go-to-market UK/GBP / assortiment + pitch buyer / storytelling durable,Haute,OK,diotima.world; ZoomInfo; LinkedIn; CFDA
Doen,shopdoen.com,USA,Womenswear RTW,"knit/cashmere, womenswear","20,0",50,High,Oui,premium_contemporary,"Bloomingdale's, Nordstrom",Debenhams,"91,0",P1 — Fort potentiel,"fit catégorie très fort (Womenswear RTW) | levier d’entrée UK depuis USA | readiness commerciale: CA $20M, effectif min. 50, international High | narratif durable/artisanal monétisable",Pilot UK online 50–100 SKU; stock-light + retail media; fixer garde-fous promo et seuils de marge avant expansion.,cadrer livraison/retours UK et prix GBP,La Redoute,"90,1",P1 — Fort potentiel,"fit catégorie solide (Womenswear RTW) | levier d’entrée France/Europe depuis USA | readiness commerciale: CA $20M, effectif min. 50, international High | narratif durable/artisanal monétisable | forte incrémentalité car canal cible peu/ pas exploité","Assortiment lifestyle 40–80 SKU; localisation FR, marges/prix contrôlés, volumes et disponibilité; éviter discounting non maîtrisé.",localiser fiches produit/prix en EUR et cadrer TVA/retours,Pack conseil: localisation FR/EUR / go-to-market UK/GBP / assortiment + pitch buyer / storytelling durable,Haute,OK,shopdoen.com; ZoomInfo; LinkedIn; BoF
DÉHANCHE,dehanche.com,USA,Accessories / Leather,accessoires/leather,"3,0",2,Medium,Oui,luxury_premium,Aucun dans le set cible,Nordstrom,"78,0",P2 — Recommandé,"fit catégorie solide (Accessories / Leather) | ancrage US utile pour capter la demande domestique premium | readiness commerciale: CA $3M, effectif min. 2, international Medium | narratif durable/artisanal monétisable","Test dropship 30–60 SKU Accessories / Leather; storytelling marque + inclusivité/sizing; pricing USD, fast returns, calendrier capsules saisonnières.",renforcer flux SAV/retours/catalogue avant onboarding,John Lewis,"77,5",P2 — Recommandé,"fit catégorie solide (Accessories / Leather) | levier d’entrée UK depuis USA | readiness commerciale: CA $3M, effectif min. 2, international Medium | narratif durable/artisanal monétisable | forte incrémentalité car canal cible peu/ pas exploité","Direct-ship UK 25–50 SKU; gamme premium lisible, service/retours irréprochables, focus qualité et produits evergreen.",renforcer flux SAV/retours/catalogue avant onboarding | cadrer livraison/retours UK et prix GBP,Pack conseil: setup US marketplace / go-to-market UK/GBP / assortiment + pitch buyer / storytelling durable,Haute,OK,dehanche.com; ZoomInfo; LinkedIn
ESCVDO,escvdo.com,USA,Womenswear RTW,womenswear,"5,0",5,High,Oui,premium_contemporary,Aucun dans le set cible,Nordstrom,"86,6",P1 — Fort potentiel,"fit catégorie solide (Womenswear RTW) | ancrage US utile pour capter la demande domestique premium | readiness commerciale: CA $5M, effectif min. 5, international High | narratif durable/artisanal monétisable","Test dropship 30–60 SKU Womenswear RTW; storytelling marque + inclusivité/sizing; pricing USD, fast returns, calendrier capsules saisonnières.",renforcer flux SAV/retours/catalogue avant onboarding,Debenhams,"85,9",P1 — Fort potentiel,"fit catégorie très fort (Womenswear RTW) | levier d’entrée UK depuis USA | readiness commerciale: CA $5M, effectif min. 5, international High | narratif durable/artisanal monétisable | forte incrémentalité car canal cible peu/ pas exploité",Pilot UK online 50–100 SKU; stock-light + retail media; fixer garde-fous promo et seuils de marge avant expansion.,cadrer livraison/retours UK et prix GBP,Pack conseil: setup US marketplace / go-to-market UK/GBP / assortiment + pitch buyer / storytelling durable,Haute,OK,escvdo.com; LinkedIn; ZoomInfo
Edition (Cecilie Bahnsen),ceciliebahnsen.com,Denmark,Womenswear RTW,womenswear,"5,0",20,High,Non,luxury_premium,Aucun dans le set cible,Nordstrom,"84,5",P1 — Fort potentiel,"fit catégorie solide (Womenswear RTW) | levier d’expansion US depuis Denmark | readiness commerciale: CA $5M, effectif min. 20, international High | forte incrémentalité car canal cible peu/ pas exploité","Test dropship 30–60 SKU Womenswear RTW; storytelling marque + inclusivité/sizing; pricing USD, fast returns, calendrier capsules saisonnières.",prévoir setup US: TIN/warehouse/retours/service client,Bloomingdale's,"84,2",P1 — Fort potentiel,"fit catégorie très fort (Womenswear RTW) | levier d’expansion US depuis Denmark | readiness commerciale: CA $5M, effectif min. 20, international High | forte incrémentalité car canal cible peu/ pas exploité","Pitch curaté 20–40 SKU Womenswear RTW; priorité best-sellers + nouveautés; e-concession/dropship, US warehouse, prix USD et retours calibrés.",prévoir setup US: TIN/warehouse/retours/service client,Pack conseil: setup US marketplace / assortiment + pitch buyer,Haute,OK,ceciliebahnsen.com; LinkedIn; ZoomInfo; BoF
El Sol (Faithfull the Brand),faithfullthebrand.com,Denmark,Swimwear / Resort,"home/lifestyle, swim/resort, womenswear","20,0",50,Medium,Non,premium_contemporary,Nordstrom,John Lewis,"90,0",P1 — Fort potentiel,"fit catégorie très fort (Swimwear / Resort) | levier d’entrée UK depuis Denmark | readiness commerciale: CA $20M, effectif min. 50, international Medium | forte incrémentalité car canal cible peu/ pas exploité","Direct-ship UK 25–50 SKU; gamme premium lisible, service/retours irréprochables, focus qualité et produits evergreen.",cadrer livraison/retours UK et prix GBP,La Redoute,"89,6",P1 — Fort potentiel,"fit catégorie très fort (Swimwear / Resort) | cohérence européenne/France | readiness commerciale: CA $20M, effectif min. 50, international Medium","Assortiment lifestyle 40–80 SKU; localisation FR, marges/prix contrôlés, volumes et disponibilité; éviter discounting non maîtrisé.",aucun blocage majeur; avancer en pitch/onboarding,Pack conseil: localisation FR/EUR / go-to-market UK/GBP / assortiment + pitch buyer,Haute,OK,faithfullthebrand.com; ZoomInfo; LinkedIn; BoF
Emme Parsons,emmeparsons.com,USA,Footwear,"footwear, womenswear","2,0",5,Medium,Oui,luxury_premium,"Bloomingdale's, Nordstrom",John Lewis,"78,3",P2 — Recommandé,"fit catégorie très fort (Footwear) | levier d’entrée UK depuis USA | readiness commerciale: CA $2M, effectif min. 5, international Medium | narratif durable/artisanal monétisable","Direct-ship UK 25–50 SKU; gamme premium lisible, service/retours irréprochables, focus qualité et produits evergreen.",taille CA sous seuil indicatif: limiter à un drop test | renforcer flux SAV/retours/catalogue avant onboarding | cadrer livraison/retours UK et prix GBP,Debenhams,"70,8",P2 — Recommandé,"fit catégorie très fort (Footwear) | levier d’entrée UK depuis USA | readiness commerciale: CA $2M, effectif min. 5, international Medium | narratif durable/artisanal monétisable",Pilot UK online 50–100 SKU; stock-light + retail media; fixer garde-fous promo et seuils de marge avant expansion.,cadrer livraison/retours UK et prix GBP | protéger le prix et l’image: capsule sélective sans promo agressive,Pack conseil: go-to-market UK/GBP / assortiment + pitch buyer / storytelling durable,Haute,OK,emmeparsons.com; ZoomInfo; LinkedIn; CFDA
FFORME,fforme.com,USA,Womenswear RTW,womenswear,"2,0",11,Medium,Non,luxury_premium,Nordstrom,Bloomingdale's,"77,7",P2 — Recommandé,"fit catégorie très fort (Womenswear RTW) | ancrage US utile pour capter la demande domestique premium | readiness commerciale: CA $2M, effectif min. 11, international Medium","Pitch curaté 20–40 SKU Womenswear RTW; priorité best-sellers + nouveautés; e-concession/dropship, US warehouse, prix USD et retours calibrés.",taille CA sous seuil indicatif: limiter à un drop test,John Lewis,"73,7",P2 — Recommandé,"fit catégorie solide (Womenswear RTW) | levier d’entrée UK depuis USA | readiness commerciale: CA $2M, effectif min. 11, international Medium","Direct-ship UK 25–50 SKU; gamme premium lisible, service/retours irréprochables, focus qualité et produits evergreen.",taille CA sous seuil indicatif: limiter à un drop test | cadrer livraison/retours UK et prix GBP,Pack conseil: setup US marketplace / go-to-market UK/GBP / assortiment + pitch buyer,Haute,OK,fforme.com; ZoomInfo; LinkedIn; BoF
Fabergé,faberge.com,Other,Fine Jewelry,"fine jewelry, jewelry","50,0",,Low,Non,ultra_luxury,"Bloomingdale's, Galeries Lafayette",Nordstrom,"61,2",P3 — Test / à cadrer,"fit catégorie très fort (Fine Jewelry) | levier d’expansion US depuis Other | readiness commerciale: CA $50M, effectif min. N/D, international Low | forte incrémentalité car canal cible peu/ pas exploité","Test dropship 30–60 SKU Fine Jewelry; storytelling marque + inclusivité/sizing; pricing USD, fast returns, calendrier capsules saisonnières.",renforcer flux SAV/retours/catalogue avant onboarding | prévoir setup US: TIN/warehouse/retours/service client | Effectif non disponible; Données enrichies absentes du CSV; complétées par recherche web,John Lewis,"56,2",Watchlist — faible fit,"fit catégorie à cadrer (Fine Jewelry) | levier d’entrée UK depuis Other | readiness commerciale: CA $50M, effectif min. N/D, international Low","Direct-ship UK 25–50 SKU; gamme premium lisible, service/retours irréprochables, focus qualité et produits evergreen.",renforcer flux SAV/retours/catalogue avant onboarding | cadrer livraison/retours UK et prix GBP | assortiment bijoux à filtrer: prix d’appel et garanties qualité | Effectif non disponible; Données enrichies absentes du CSV; complétées par recherche web,Pack conseil: setup US marketplace / go-to-market UK/GBP / assortiment + pitch buyer,Moyenne,Effectif non disponible; Données enrichies absentes du CSV; complétées par recherche web,Gemfields sale announcement; Reuters/Guardian 2025
FoundRae,foundrae.com,USA,Fine Jewelry,"fine jewelry, jewelry","5,0",25,Medium,Non,luxury_premium,"Bloomingdale's, Nordstrom",John Lewis,"74,9",P2 — Recommandé,"fit catégorie à cadrer (Fine Jewelry) | levier d’entrée UK depuis USA | readiness commerciale: CA $5M, effectif min. 25, international Medium","Direct-ship UK 25–50 SKU; gamme premium lisible, service/retours irréprochables, focus qualité et produits evergreen.",cadrer livraison/retours UK et prix GBP | assortiment bijoux à filtrer: prix d’appel et garanties qualité,Galeries Lafayette,"73,9",P2 — Recommandé,"fit catégorie solide (Fine Jewelry) | levier d’entrée France/Europe depuis USA | readiness commerciale: CA $5M, effectif min. 25, international Medium","Capsule premium 20–35 SKU; fiches FR/EN, prix EUR, sélection visuelle élevée; viser vitrine online puis pont wholesale/retail si traction.",taille CA sous seuil indicatif: limiter à un drop test | localiser fiches produit/prix en EUR et cadrer TVA/retours,Pack conseil: localisation FR/EUR / go-to-market UK/GBP / assortiment + pitch buyer,Haute,OK,foundrae.com; ZoomInfo; LinkedIn; CFDA
GABRIELA HEARST,gabrielahearst.com,USA,Womenswear RTW,"accessoires/leather, knit/cashmere, womenswear","20,0",50,Medium,Oui,luxury_premium,"Bloomingdale's, Nordstrom, Galeries Lafayette",John Lewis,"85,5",P1 — Fort potentiel,"fit catégorie solide (Womenswear RTW) | levier d’entrée UK depuis USA | readiness commerciale: CA $20M, effectif min. 50, international Medium | narratif durable/artisanal monétisable","Direct-ship UK 25–50 SKU; gamme premium lisible, service/retours irréprochables, focus qualité et produits evergreen.",cadrer livraison/retours UK et prix GBP,La Redoute,"78,4",P2 — Recommandé,"fit catégorie solide (Womenswear RTW) | levier d’entrée France/Europe depuis USA | readiness commerciale: CA $20M, effectif min. 50, international Medium | narratif durable/artisanal monétisable","Assortiment lifestyle 40–80 SKU; localisation FR, marges/prix contrôlés, volumes et disponibilité; éviter discounting non maîtrisé.",localiser fiches produit/prix en EUR et cadrer TVA/retours | protéger le prix et l’image: capsule sélective sans promo agressive,Pack conseil: localisation FR/EUR / go-to-market UK/GBP / assortiment + pitch buyer / storytelling durable,Haute,OK,gabrielahearst.com; ZoomInfo; LinkedIn; BoF; Wikipedia
GALVAN,galvanlondon.com,UK,Womenswear RTW,"bridal, womenswear","5,0",11,Medium,Non,luxury_premium,"Nordstrom, John Lewis",Bloomingdale's,"79,6",P2 — Recommandé,"fit catégorie très fort (Womenswear RTW) | levier d’expansion US depuis UK | readiness commerciale: CA $5M, effectif min. 11, international Medium","Pitch curaté 20–40 SKU Womenswear RTW; priorité best-sellers + nouveautés; e-concession/dropship, US warehouse, prix USD et retours calibrés.",prévoir setup US: TIN/warehouse/retours/service client,Galeries Lafayette,"77,0",P2 — Recommandé,"fit catégorie très fort (Womenswear RTW) | cohérence européenne/France | readiness commerciale: CA $5M, effectif min. 11, international Medium","Capsule premium 20–35 SKU; fiches FR/EN, prix EUR, sélection visuelle élevée; viser vitrine online puis pont wholesale/retail si traction.",taille CA sous seuil indicatif: limiter à un drop test | renforcer flux SAV/retours/catalogue avant onboarding,Pack conseil: setup US marketplace / localisation FR/EUR / assortiment + pitch buyer,Haute,OK,galvanlondon.com; Companies House UK; ZoomInfo; LinkedIn
Gigi Burris,gigiburris.com,USA,Bridal / Occasion,"bridal, millinery","3,0",2,High,Oui,luxury_premium,Nordstrom,John Lewis,"72,1",P2 — Recommandé,"fit catégorie à cadrer (Bridal / Occasion) | levier d’entrée UK depuis USA | readiness commerciale: CA $3M, effectif min. 2, international High | narratif durable/artisanal monétisable","Direct-ship UK 25–50 SKU; gamme premium lisible, service/retours irréprochables, focus qualité et produits evergreen.",renforcer flux SAV/retours/catalogue avant onboarding | cadrer livraison/retours UK et prix GBP,Bloomingdale's,"59,7",Watchlist — faible fit,"fit catégorie à cadrer (Bridal / Occasion) | ancrage US utile pour capter la demande domestique premium | readiness commerciale: CA $3M, effectif min. 2, international High | narratif durable/artisanal monétisable","Pitch curaté 20–40 SKU Bridal / Occasion; priorité best-sellers + nouveautés; e-concession/dropship, US warehouse, prix USD et retours calibrés.",renforcer flux SAV/retours/catalogue avant onboarding,Pack conseil: setup US marketplace / go-to-market UK/GBP / assortiment + pitch buyer / storytelling durable,Haute,OK,gigiburris.com; ZoomInfo; LinkedIn; CFDA
God's True Cashmere,godstruecashmere.com,USA,Knitwear / Cashmere,knit/cashmere,"2,0",5,High,Oui,luxury_premium,Aucun dans le set cible,Nordstrom,"82,5",P1 — Fort potentiel,"fit catégorie solide (Knitwear / Cashmere) | ancrage US utile pour capter la demande domestique premium | readiness commerciale: CA $2M, effectif min. 5, international High | narratif durable/artisanal monétisable","Test dropship 30–60 SKU Knitwear / Cashmere; storytelling marque + inclusivité/sizing; pricing USD, fast returns, calendrier capsules saisonnières.",renforcer flux SAV/retours/catalogue avant onboarding,Bloomingdale's,"79,7",P2 — Recommandé,"fit catégorie très fort (Knitwear / Cashmere) | ancrage US utile pour capter la demande domestique premium | readiness commerciale: CA $2M, effectif min. 5, international High | narratif durable/artisanal monétisable","Pitch curaté 20–40 SKU Knitwear / Cashmere; priorité best-sellers + nouveautés; e-concession/dropship, US warehouse, prix USD et retours calibrés.",taille CA sous seuil indicatif: limiter à un drop test | renforcer flux SAV/retours/catalogue avant onboarding,Pack conseil: setup US marketplace / assortiment + pitch buyer / storytelling durable,Haute,OK,godstruecashmere.com; ZoomInfo; LinkedIn
Hunting Season,hunting-season.com,USA,Accessories / Leather,accessoires/leather,"2,0",5,Medium,Non,luxury_premium,"Bloomingdale's, Nordstrom",John Lewis,"71,1",P2 — Recommandé,"fit catégorie solide (Accessories / Leather) | levier d’entrée UK depuis USA | readiness commerciale: CA $2M, effectif min. 5, international Medium","Direct-ship UK 25–50 SKU; gamme premium lisible, service/retours irréprochables, focus qualité et produits evergreen.",taille CA sous seuil indicatif: limiter à un drop test | renforcer flux SAV/retours/catalogue avant onboarding | cadrer livraison/retours UK et prix GBP,La Redoute,"65,0",P3 — Test / à cadrer,"fit catégorie à cadrer (Accessories / Leather) | levier d’entrée France/Europe depuis USA | readiness commerciale: CA $2M, effectif min. 5, international Medium","Assortiment lifestyle 40–80 SKU; localisation FR, marges/prix contrôlés, volumes et disponibilité; éviter discounting non maîtrisé.",localiser fiches produit/prix en EUR et cadrer TVA/retours | protéger le prix et l’image: capsule sélective sans promo agressive,Pack conseil: localisation FR/EUR / go-to-market UK/GBP / assortiment + pitch buyer,Haute,OK,hunting-season.com; ZoomInfo; LinkedIn; CFDA
Jacques Marie Mage,jacquesmariemage.com,USA,Eyewear,eyewear,"10,0",20,High,Oui,luxury_premium,"Bloomingdale's, Nordstrom",Galeries Lafayette,"73,4",P2 — Recommandé,"fit catégorie à cadrer (Eyewear) | levier d’entrée France/Europe depuis USA | readiness commerciale: CA $10M, effectif min. 20, international High | narratif durable/artisanal monétisable | forte incrémentalité car canal cible peu/ pas exploité","Capsule premium 20–35 SKU; fiches FR/EN, prix EUR, sélection visuelle élevée; viser vitrine online puis pont wholesale/retail si traction.",localiser fiches produit/prix en EUR et cadrer TVA/retours,John Lewis,"71,7",P2 — Recommandé,"fit catégorie à cadrer (Eyewear) | levier d’entrée UK depuis USA | readiness commerciale: CA $10M, effectif min. 20, international High | narratif durable/artisanal monétisable","Direct-ship UK 25–50 SKU; gamme premium lisible, service/retours irréprochables, focus qualité et produits evergreen.",cadrer livraison/retours UK et prix GBP,Pack conseil: localisation FR/EUR / go-to-market UK/GBP / assortiment + pitch buyer / storytelling durable,Haute,OK,jacquesmariemage.com; ZoomInfo; LinkedIn; Highsnobiety
Jacquie Aiche,jacquieaiche.com,USA,Fine Jewelry,"fine jewelry, jewelry","5,0",11,Medium,Non,luxury_premium,"Bloomingdale's, Nordstrom",John Lewis,"73,4",P2 — Recommandé,"fit catégorie à cadrer (Fine Jewelry) | levier d’entrée UK depuis USA | readiness commerciale: CA $5M, effectif min. 11, international Medium","Direct-ship UK 25–50 SKU; gamme premium lisible, service/retours irréprochables, focus qualité et produits evergreen.",cadrer livraison/retours UK et prix GBP | assortiment bijoux à filtrer: prix d’appel et garanties qualité,Galeries Lafayette,"70,7",P2 — Recommandé,"fit catégorie solide (Fine Jewelry) | levier d’entrée France/Europe depuis USA | readiness commerciale: CA $5M, effectif min. 11, international Medium","Capsule premium 20–35 SKU; fiches FR/EN, prix EUR, sélection visuelle élevée; viser vitrine online puis pont wholesale/retail si traction.",taille CA sous seuil indicatif: limiter à un drop test | renforcer flux SAV/retours/catalogue avant onboarding | localiser fiches produit/prix en EUR et cadrer TVA/retours,Pack conseil: localisation FR/EUR / go-to-market UK/GBP / assortiment + pitch buyer,Haute,OK,jacquieaiche.com; ZoomInfo; LinkedIn; Vogue
