Brand Name,brandUrl,Scraped_Title,Scraped_Description,Emails,Social_Links
Sacai,sacai.jp,sacai Official Store サカイ オフィシャル,sacai（サカイ）公式オンラインストア。ウィメンズ・メンズの最新コレクションをやオンラインストア限定アイテムも展開。,,https://www.facebook.com/sacai.jp; https://www.instagram.com/sacaiofficial/
Serapian,serapian.com,Serapian Boutique Online - Luxury Bags and Accessories since 1928,"Precious materials, handmade craftsmanship, and Made in Italy excellence are the distinctive hallmark of Serapian, a symbol of a unique and timeless history.",customercare@onlineboutique.serapian.com,https://www.facebook.com/serapianmilano/; https://www.instagram.com/serapianmilano/
Shay Furniture,shayfurniture.com,"Furniture & Mattress store in Portage, IN. Wholesale Prices.
 – Shay Furniture",Quality furniture & mattresses at wholesale prices year round. Never pay retail again! Save up to 70% 1000's of products. Try before you buy. Custom ordering too.,,https://www.facebook.com/shopshayway/
Simone Rocha,shop-us.simonerocha.com,"Simone Rocha
 – Simone Rocha US","Explore and shop the Simone Rocha Women's & Men's Ready-to-wear, Shoes and Accessories collections online.",,
Skin Worldwide,skinworldwide.com,"Skin. Natural Loungewear, Intimates, Lingerie, and Clothing
    
    
    
      – Skin. Addressing the body.","Skin creates luxurious loungewear, intimates, lingerie, swimwear and clothing in organic cotton and other super soft natural materials. We spin simplicity into necessity.",,https://www.instagram.com/skin.worldwide/; https://www.pinterest.com/skinworldwideLLC/_created/; https://www.tiktok.com/@skinworldwide
Sophie Lou Jacobsen,sophieloujacobsen.com,Sophie Lou Jacobsen,"Sophie Lou Jacobsen is a French-American designer based in New York City. Her work, ranging from collectible design to tableware and interiors stems from the idea that objects and environments have an innate power to enhance their user's mood through form and function.",sophieloujacobsen@thelast.agency; web@sophieloujacobsen.com; trade@sophieloujacobsen.com; disco@thelast.agency,https://instagram.com/sophieloujacobsen
Sporty & Rich,sportyandrich.com,Sporty & Rich - California Prep Drop,Elevate your everyday with Sporty & Rich. Premium wellness-inspired apparel and accessories. Fast worldwide shipping.,,https://instagram.com/sportyandrich
Suzie Kondi,suziekondi.com,Suzie Kondi,"Suzie Kondi is an effortless way to approach uniform dressing from day-to-night, head-to-toe. Known for its iconic tracksuits, Suzie Kondi creates elevated separates in velour, terry and cashmere that pair together seamlessly, while centering premium craftsmanship. Refined, easy & indispensable items you want to wear.",wholesale@suziekondi.comFor; press@suziekondi.com; shop@suziekondi.com; shop@suziekondi.comFor; wholesale@suziekondi.com,https://www.instagram.com/suziekondi; https://www.pinterest.com/suzie_kondi/
Taller Marmo,tallermarmo.com,"Taller Marmo
    
    
    
      – Taller Marmo Boutique","Defined by a modern take on occasion wear, the brand employs clean, relaxed cuts in bold and empowering fabrics, where a focus on craftsmanship intertwines with a fun and fabulous spirit. Taller Marmo collections are exclusively made in Italy by experienced artisans.",CareEmailcustomercare@tallermarmo.comWhatsapp,https://www.linkedin.com/company/taller-marmo/; https://www.instagram.com/tallermarmo/; https://www.facebook.com/tallermarmo
The Elder Statesman,elder-statesman.com,The Elder Statesman | Official Online Store,"Discover the latest arrivals from The Elder Statesman— Through a focused lens of modern luxury, The Elder Statesman presents pieces that are clean, crisp, and endlessly wearable. Elevated yet effortless, timeless yet distinctly modern.",,https://www.instagram.com/theelderstatesman/; https://www.facebook.com/theelderstatesmanofficial
The Frankie Shop,thefrankieshop.com,The Frankie Shop — High End Fashion Clothes for Women,"Latest fashion trends of the season. Limited stock of designer clothes. Shop now our curated collections of coats, tops, bottoms and dresses!",,https://www.linkedin.com/company/the-frankie-shop; https://www.pinterest.com/thefrankieshopnyc/; https://www.tiktok.com/@thefrankieshop; https://instagram.com/thefrankieshop; https://www.facebook.com/thefrankieshopnyc/?locale=en_GB
The Row,therow.com,The Row | Clothing & Accessories,"The Row est. in 2005 by Ashley Olsen and Mary-Kate Olsen. Timeless ready-to-wear, handbags, clothes and accessories. Shop on the official online store.",,https://www.instagram.com/therow/
Tibi,tibi.com,Tibi | Official Site,"Founded in 1997 by Amy Smilovic, Tibi is a ready-to-wear collection designed through the lens of Creative Pragmatism based on a chill, modern, and classic sensibility. Each piece communicates along the spectrum of creativity and pragmatism.",,https://www.facebook.com/TibiNewYork; https://www.instagram.com/tibi/; https://www.pinterest.com/tibi/
Tohum Designs,tohumdesign.com,Tohum Design - Luxury handcrafted Jewelry with Soulful natural element,"Tohum Design creates luxury handcrafted jewelry inspired by nature and culture. Discover handmade unique shell, crystal, evil eye, and gold-plated pieces.",,https://www.instagram.com/tohumdesign/; https://www.instagram.com/tohumdesign/?hl=en; https://www.pinterest.com/Tohumdesignofficial/
Tove Studio,tove-studio.com,TOVE Studio,TOVE is an advanced contemporary womenswear brand that balances modernity and femininity. Explore our world and shop our collections at our online store.,,https://www.instagram.com/tovestudio/?hl=en
Ulla Johnson,ullajohnson.com,Ulla Johnson | Shop New Arrivals,"Discover the world of Ulla Johnson. Ready-to-wear clothing, shoes & accessories in timeless designs. Complimentary US Shipping",orders@ullajohnson.com,https://www.tiktok.com/@ullajohnsonofficial; https://www.pinterest.com/ullajohnson/; https://www.linkedin.com/company/ulla-johnson-inc; https://www.facebook.com/ullajohnsoninc/; https://www.instagram.com/ullajohnson/; https://www.instagram.com/ullajohnson/?hl=en
Womens,bsidesjeans.com,"B SIDES Jeans
 – B Sides Jeans",Official home of B Sides Jeans. Shop the collection of American made originals and re-works.,,https://www.instagram.com/b_sides_jeans/; https://www.facebook.com/B-SIDES-Jeans-1341965022505462/
Yves Salomon,us.yves-salomon.com,"Yves Salomon | Official USA Website
 – Yves Salomon US",Yves Salomon Official Website. Explore the Yves Salomon collections for women and men and discover our know-how.,,https://www.facebook.com/yvesalomon/; https://www.instagram.com/yves_salomon/; https://www.linkedin.com/feed/; https://fr.pinterest.com/yvessalomon/
arch4,arch4.co.uk,arch4 | Finest Sustainable Cashmere Knitwear,"arch4 is a purveyor of the finest and most sustainable cashmere clothing. Our innovative techniques, combined with the softest textures, make our products truly unique. Explore the largest collection of our luxury, sustainable cashmere sweaters, cardigans and more for men and women.",info@arch4.co.uk; 328268customercare@arch4.co.uk,https://www.instagram.com/arch4official; https://www.facebook.com/arch4.co.uk
lemlem,lemlem.com,Ethical fashion | lemlem,"lemlem is an artisan-driven sustainable fashion label for women, men and kids, founded by supermodel Liya Kebede. Designs are made in Africa by local artisans, using handwoven cotton. Sales benefit the lemlem Foundation to fund maternal health and women's empowerment programs in Africa.",,https://www.instagram.com/lemlemofficial/; https://www.facebook.com/lemlemofficial/; https://www.pinterest.com/lemlem/
sorellina Jewellry,sorellinanyc.com,Sorellina Jewelry,Sorellina,,https://www.tiktok.com/@sorellinajewelry; https://www.instagram.com/sorellinajewelry/; https://www.facebook.com/SorellinaNYC/; https://www.pinterest.com/sorellinajewelry/
ÉTERNE,eterne.com,ÉTERNE,"ÉTERNE was established in 2020 by stylist Chloé Bartoli. Focused on timeless minimal designs and perfectly fitted tailoring, the collections seamlessly fuse simplicity and taste to create the ideal foundation of any wardrobe.",,https://www.instagram.com/eterne/
